city,state_id,state_name,county_name,lat,lng,density,ranking,Price,home_value
New York,NY,New York,Queens,40.6943,-73.9249,10768.2,1,$425,659738
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,3267.6,1,$424,705680
Chicago,IL,Illinois,Cook,41.8375,-87.6866,4576.6,1,$423,277714
Miami,FL,Florida,Miami-Dade,25.784,-80.2101,4945.7,1,$421,368439
Dallas,TX,Texas,Dallas,32.7935,-96.7667,1522.2,1,$420,233086
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,1235.5,1,$419,275624
Houston,TX,Texas,Harris,29.786,-95.3885,1394.6,1,$418,205913
Manhattan,NY,New York,New York,40.7834,-73.9662,28653.9,1,$416,
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,4544.9,1,$415,183858
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,5505.8,1,$414,610520
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,1871.2,1,$413,59513
Seattle,WA,Washington,King,47.6211,-122.3244,3412.2,1,$412,767376
San Francisco,CA,California,San Francisco,37.7558,-122.4449,7199.4,1,$410,1198481
San Diego,CA,California,San Diego,32.8313,-117.1222,1675.9,1,$409,663821
Austin,TX,Texas,Travis,30.3005,-97.7522,1165.6,1,$408,381472
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,3035.5,1,$407,283714
Brooklyn,NY,New York,Kings,40.6501,-73.9496,15200.5,1,$405,
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,1340.7,1,$404,275408
Denver,CO,Colorado,Denver,39.762,-104.8758,1805.7,1,$403,458480
Queens,NY,New York,Queens,40.7498,-73.7976,8503.7,1,$402,
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2872.8,1,$401,177423
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,1754.7,1,$399,302501
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,1905.7,1,$398,147384
Portland,OR,Oregon,Multnomah,45.5371,-122.65,1881.6,1,$397,463001
Riverside,CA,California,Riverside,33.9381,-117.3949,1557,1,$396,416530
Orlando,FL,Florida,Orange,28.4773,-81.337,992,1,$394,280385
Sacramento,CA,California,Sacramento,38.5677,-121.4685,1971.3,1,$393,385139
Atlanta,GA,Georgia,Fulton,33.7628,-84.422,1419.9,1,$392,340669
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,1184.5,1,$391,165450
San Jose,CA,California,Santa Clara,37.3012,-121.848,2229,1,$389,986149
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,2100.7,1,$388,144449
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,1500.2,1,$387,160597
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,907.6,1,$386,175384
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1904,1,$385,74542
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,928.2,1,$383,154401
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,602.6,1,$382,175366
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1559.5,1,$381,174663
Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,1091,1,$380,257386
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,711.4,1,$378,296187
Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,541.3,1,$377,291241
Bronx,NY,New York,Bronx,40.8501,-73.8662,13356.3,1,$376,
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,2379,1,$375,134534
Providence,RI,Rhode Island,Providence,41.823,-71.4187,3764.8,1,$374,249596
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,466.3,1,$372,201007
Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,700.3,1,$371,380626
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,4434,1,$370,635854
Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,1232.8,1,$369,286011
Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,852.1,1,$367,113495
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1477,1,$366,262986
Buffalo,NY,New York,Erie,42.9018,-78.8487,2446.1,1,$365,115442
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,413.7,2,$365,167965
Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1954,3485.4,2,$365,192681
New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,891.2,2,$365,255089
Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,988.3,2,$364,206898
Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,2722.5,2,$364,171868
Tucson,AZ,Arizona,Pima,32.1541,-110.8787,873.6,2,$364,177418
Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,2214.1,2,$364,726004
McAllen,TX,Texas,Hidalgo,26.2252,-98.2467,883.4,2,$364,133672
Omaha,NE,Nebraska,Douglas,41.2627,-96.0529,1299.2,2,$364,177665
El Paso,TX,Texas,El Paso,31.8476,-106.43,1015.8,2,$363,137614
Hempstead,NY,New York,Nassau,40.6629,-73.6089,2498,2,$363,500731
Albuquerque,NM,New Mexico,Bernalillo,35.1054,-106.6465,1155.5,2,$363,214352
Rochester,NY,New York,Monroe,43.168,-77.6162,2227.6,2,$363,93179
Sarasota,FL,Florida,Sarasota,27.3387,-82.5432,1518.1,2,$363,332163
Fresno,CA,California,Fresno,36.783,-119.7939,1757.3,2,$363,272398
Tulsa,OK,Oklahoma,Tulsa,36.1283,-95.9042,785.8,2,$362,150160
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,2663.3,2,$362,146256
Dayton,OH,Ohio,Montgomery,39.7805,-84.2003,971.7,2,$362,73307
Birmingham,AL,Alabama,Jefferson,33.5279,-86.7971,553.9,2,$362,109537
Charleston,SC,South Carolina,Charleston,32.8168,-79.9687,460.9,2,$362,370804
Cape Coral,FL,Florida,Lee,26.6443,-81.9957,690.5,2,$361,255977
